event_id,incident_date,incident_time,site,department,shift,incident_type,description,injury_outcome,recordable,lost_time,near_miss,potential_sif,severity,frequency,critical_control_verified,inspection_completion_rate,training_compliance_pct,exposure_hours,latitude,longitude,risk_score
HSE-1020,2026-01-11,00:00,Mombasa Depot,Operations,Night,Struck By,Struck By event reported at Mombasa Depot during night shift.,Restricted Work,True,False,False,False,3,2,True,100.0,90.5,1104,-4.0435,39.6682,6
HSE-1021,2026-01-11,00:30,Kisumu Depot,Operations,Night,Slip / Trip,Worker slipped near transfer walkway at Kisumu Depot during night shift.,Restricted Work,True,True,False,False,4,3,False,90.0,83.9,1169,-0.0917,34.768,12
HSE-1022,2026-01-11,09:20,Kakamega Depot,Operations,Day,Fall From Height,Elevated work task had incomplete edge protection at Kakamega Depot.,Restricted Work,True,False,False,False,3,4,True,90.6,88.0,1169,0.2827,34.7519,12
HSE-1023,2026-01-12,01:20,Nyeri Depot,Maintenance,Night,Struck By,Struck By event reported at Nyeri Depot during night shift.,Restricted Work,True,False,False,False,2,3,False,69.0,86.9,1365,-0.4201,36.9476,6
HSE-1024,2026-01-12,07:10,Wajir Depot,Operations,Day,Slip / Trip,Worker slipped near transfer walkway at Wajir Depot during day shift.,Restricted Work,True,False,False,False,2,3,True,85.7,83.9,913,1.7471,40.0573,6
HSE-1025,2026-01-13,17:40,Mandera Depot,Operations,Day,Equipment Contact,Equipment Contact event reported at Mandera Depot during day shift. Credible worst case could be life-altering.,First Aid,True,False,False,True,3,1,False,100.0,87.6,906,3.9373,41.8569,3
HSE-1026,2026-01-14,01:40,Nairobi Depot,Operations,Night,Struck By,Struck By event reported at Nairobi Depot during night shift.,Medical Treatment,False,False,False,False,1,1,True,100.0,95.9,1336,-1.2921,36.8219,1
HSE-1027,2026-01-14,13:50,Wajir Depot,Maintenance,Day,Chemical Exposure,Chemical Exposure event reported at Wajir Depot during day shift.,First Aid,False,False,False,False,1,1,True,96.4,99.0,932,1.7471,40.0573,1
HSE-1028,2026-01-15,12:00,Kakamega Depot,Logistics,Day,Chemical Exposure,Chemical Exposure event reported at Kakamega Depot during day shift. Credible worst case could be life-altering.,Near Miss,False,True,True,True,3,4,True,65.6,83.0,1176,0.2827,34.7519,12
HSE-1029,2026-01-16,06:30,Kisumu Depot,Maintenance,Day,Manual Handling,Manual Handling event reported at Kisumu Depot during day shift.,First Aid,True,True,False,False,4,3,True,96.8,93.4,938,-0.0917,34.768,12
HSE-1030,2026-01-16,22:20,Wajir Depot,Operations,Night,Slip / Trip,Worker slipped near transfer walkway at Wajir Depot during night shift.,Medical Treatment,True,False,False,False,3,4,True,89.7,96.0,1166,1.7471,40.0573,12
HSE-1031,2026-01-16,23:30,Mandera Depot,Operations,Night,Manual Handling,Manual Handling event reported at Mandera Depot during night shift.,Lost Time,False,False,False,False,1,5,True,100.0,87.2,906,3.9373,41.8569,5
HSE-1032,2026-01-17,15:00,Mombasa Depot,Operations,Day,Equipment Contact,Equipment Contact event reported at Mombasa Depot during day shift.,Restricted Work,False,False,False,False,1,5,True,81.5,98.5,991,-4.0435,39.6682,5
HSE-1033,2026-01-17,23:50,Kisumu Depot,Maintenance,Night,Manual Handling,Manual Handling event reported at Kisumu Depot during night shift.,First Aid,True,False,False,False,2,2,True,74.2,94.6,1364,-0.0917,34.768,4
HSE-1034,2026-01-18,13:30,Wajir Depot,Logistics,Day,Near Miss,Near Miss event reported at Wajir Depot during day shift.,Near Miss,False,False,True,False,0,2,True,59.3,86.9,1030,1.7471,40.0573,0
HSE-1035,2026-01-19,00:00,Nairobi Depot,Operations,Night,Chemical Exposure,Chemical Exposure event reported at Nairobi Depot during night shift. Credible worst case could be life-altering.,First Aid,True,False,False,True,3,4,True,84.0,83.9,910,-1.2921,36.8219,12
HSE-1036,2026-01-19,22:40,Mandera Depot,Maintenance,Night,Slip / Trip,Worker slipped near transfer walkway at Mandera Depot during night shift.,Restricted Work,True,False,False,False,2,1,True,78.1,86.5,1383,3.9373,41.8569,2
HSE-1037,2026-01-20,06:30,Mombasa Depot,Maintenance,Day,Manual Handling,Manual Handling event reported at Mombasa Depot during day shift.,Restricted Work,False,False,False,False,1,3,True,67.7,93.1,1161,-4.0435,39.6682,3
HSE-1038,2026-01-20,01:40,Mandera Depot,Logistics,Night,Vehicle Interaction,Pedestrian entered forklift travel path at Mandera Depot during night shift. Credible worst case could be life-altering.,First Aid,True,True,False,True,5,1,True,88.9,82.6,957,3.9373,41.8569,5
HSE-1039,2026-01-21,18:50,Mombasa Depot,Maintenance,Day,Struck By,Struck By event reported at Mombasa Depot during day shift.,Restricted Work,True,True,False,False,4,5,True,74.1,93.3,1110,-4.0435,39.6682,20
HSE-1040,2026-01-21,07:00,Nyeri Depot,Operations,Day,Equipment Contact,Equipment Contact event reported at Nyeri Depot during day shift.,First Aid,True,False,False,False,3,5,True,82.8,91.4,1016,-0.4201,36.9476,15
HSE-1041,2026-01-21,17:30,Kakamega Depot,Maintenance,Day,Chemical Exposure,Chemical Exposure event reported at Kakamega Depot during day shift.,Medical Treatment,True,False,False,False,2,3,True,80.6,82.7,1267,0.2827,34.7519,6
HSE-1042,2026-01-21,12:50,Wajir Depot,Operations,Day,Equipment Contact,Equipment Contact event reported at Wajir Depot during day shift.,Medical Treatment,True,False,False,False,3,1,False,96.7,90.3,1344,1.7471,40.0573,3
HSE-1043,2026-01-22,02:40,Nyeri Depot,Utilities,Night,Fall From Height,Elevated work task had incomplete edge protection at Nyeri Depot.,Restricted Work,False,False,False,False,1,2,False,87.1,86.5,1120,-0.4201,36.9476,2
HSE-1044,2026-01-22,11:50,Kisumu Depot,Operations,Day,Manual Handling,Manual Handling event reported at Kisumu Depot during day shift.,First Aid,True,True,False,False,4,1,True,81.5,82.8,939,-0.0917,34.768,4
HSE-1045,2026-01-23,10:20,Wajir Depot,Maintenance,Day,Slip / Trip,Worker slipped near transfer walkway at Wajir Depot during day shift.,First Aid,True,False,False,False,2,2,True,82.1,96.2,1255,1.7471,40.0573,4
HSE-1046,2026-01-24,00:30,Nairobi Depot,Logistics,Night,Chemical Exposure,Chemical Exposure event reported at Nairobi Depot during night shift.,Near Miss,False,False,True,False,0,5,False,74.1,98.7,1399,-1.2921,36.8219,0
HSE-1047,2026-01-24,18:40,Mombasa Depot,Logistics,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Mombasa Depot during day shift. Credible worst case could be life-altering.,First Aid,True,False,False,True,3,2,True,85.7,93.8,974,-4.0435,39.6682,6
HSE-1048,2026-01-24,11:00,Nyeri Depot,Operations,Day,Struck By,Struck By event reported at Nyeri Depot during day shift.,Medical Treatment,True,False,False,False,2,4,True,95.2,98.5,1124,-0.4201,36.9476,8
HSE-1049,2026-01-24,06:40,Kisumu Depot,Operations,Day,Near Miss,Near Miss event reported at Kisumu Depot during day shift.,Near Miss,False,False,True,False,0,2,True,95.5,99.0,1034,-0.0917,34.768,0
HSE-1050,2026-01-26,09:50,Wajir Depot,Maintenance,Day,Struck By,Struck By event reported at Wajir Depot during day shift.,First Aid,True,False,False,False,2,4,True,81.2,92.2,1231,1.7471,40.0573,8
HSE-1051,2026-01-27,06:50,Wajir Depot,Maintenance,Day,Slip / Trip,Worker slipped near transfer walkway at Wajir Depot during day shift.,Near Miss,False,False,True,False,0,4,True,91.3,84.9,1236,1.7471,40.0573,0
HSE-1052,2026-01-27,12:00,Mandera Depot,Operations,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Mandera Depot during day shift.,Lost Time,True,False,False,False,2,3,True,93.5,93.4,1387,3.9373,41.8569,6
HSE-1053,2026-01-28,02:50,Nairobi Depot,Logistics,Night,Fall From Height,Elevated work task had incomplete edge protection at Nairobi Depot.,Near Miss,False,False,True,False,0,2,True,96.7,93.8,920,-1.2921,36.8219,0
HSE-1054,2026-01-28,17:00,Kisumu Depot,Operations,Day,Struck By,Struck By event reported at Kisumu Depot during day shift.,First Aid,False,False,False,False,1,4,True,87.5,87.6,1149,-0.0917,34.768,4
HSE-1055,2026-01-28,09:50,Mandera Depot,Logistics,Day,Slip / Trip,Worker slipped near transfer walkway at Mandera Depot during day shift.,Medical Treatment,True,True,False,False,4,2,True,80.0,82.7,877,3.9373,41.8569,8
HSE-1056,2026-01-29,17:40,Nairobi Depot,Operations,Day,Chemical Exposure,Chemical Exposure event reported at Nairobi Depot during day shift.,Lost Time,False,False,False,False,1,4,True,66.7,94.4,1028,-1.2921,36.8219,4
HSE-1057,2026-01-29,01:50,Mombasa Depot,Operations,Night,Manual Handling,Manual Handling event reported at Mombasa Depot during night shift.,Restricted Work,False,False,False,False,1,5,True,96.2,92.1,1245,-4.0435,39.6682,5
HSE-1058,2026-01-29,22:10,Kakamega Depot,Utilities,Night,Slip / Trip,Worker slipped near transfer walkway at Kakamega Depot during night shift.,First Aid,False,False,False,False,1,2,True,61.3,93.1,1027,0.2827,34.7519,2
HSE-1059,2026-01-29,02:40,Wajir Depot,Logistics,Night,Chemical Exposure,Chemical Exposure event reported at Wajir Depot during night shift. Credible worst case could be life-altering.,Lost Time,True,True,False,True,4,2,True,88.9,92.6,994,1.7471,40.0573,8
HSE-1060,2026-01-30,18:50,Mombasa Depot,Maintenance,Day,Fall From Height,Elevated work task had incomplete edge protection at Mombasa Depot.,Restricted Work,True,False,False,False,2,2,True,73.3,94.4,853,-4.0435,39.6682,4
HSE-1061,2026-01-30,16:10,Nyeri Depot,Maintenance,Day,Manual Handling,Manual Handling event reported at Nyeri Depot during day shift.,Lost Time,True,False,False,False,2,5,True,85.2,87.0,994,-0.4201,36.9476,10
HSE-1062,2026-01-31,18:50,Nairobi Depot,Maintenance,Day,Equipment Contact,Equipment Contact event reported at Nairobi Depot during day shift.,First Aid,True,True,False,False,4,4,True,87.5,85.3,1210,-1.2921,36.8219,16
HSE-1063,2026-01-31,02:20,Mandera Depot,Operations,Night,Struck By,Struck By event reported at Mandera Depot during night shift.,First Aid,False,False,False,False,1,1,False,58.1,93.4,907,3.9373,41.8569,1
HSE-1064,2026-02-01,23:00,Nairobi Depot,Operations,Night,Manual Handling,Manual Handling event reported at Nairobi Depot during night shift.,Medical Treatment,True,False,False,False,3,4,True,71.4,97.6,1288,-1.2921,36.8219,12
HSE-1065,2026-02-02,22:50,Nairobi Depot,Maintenance,Night,Manual Handling,Manual Handling event reported at Nairobi Depot during night shift.,Medical Treatment,False,False,False,False,1,4,True,65.4,98.8,1164,-1.2921,36.8219,4
HSE-1066,2026-02-02,13:20,Kisumu Depot,Logistics,Day,Slip / Trip,Worker slipped near transfer walkway at Kisumu Depot during day shift.,Near Miss,False,False,True,False,0,2,True,76.7,98.0,1123,-0.0917,34.768,0
HSE-1067,2026-02-02,23:40,Kakamega Depot,Operations,Night,Fall From Height,Elevated work task had incomplete edge protection at Kakamega Depot.,Near Miss,False,False,True,False,0,5,True,95.8,96.8,1390,0.2827,34.7519,0
HSE-1068,2026-02-03,17:20,Nairobi Depot,Operations,Day,Struck By,Struck By event reported at Nairobi Depot during day shift.,Medical Treatment,True,False,False,False,2,3,True,96.4,92.5,1132,-1.2921,36.8219,6
HSE-1069,2026-02-03,18:50,Kisumu Depot,Maintenance,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Kisumu Depot during day shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,3,3,True,81.5,82.5,959,-0.0917,34.768,9
HSE-1070,2026-02-03,23:10,Wajir Depot,Operations,Night,Struck By,Struck By event reported at Wajir Depot during night shift.,Near Miss,False,False,True,False,0,2,True,86.2,95.9,924,1.7471,40.0573,0
HSE-1071,2026-02-04,10:20,Mombasa Depot,Maintenance,Day,Near Miss,Near Miss event reported at Mombasa Depot during day shift.,Near Miss,False,False,True,False,0,3,True,93.1,93.2,1117,-4.0435,39.6682,0
HSE-1072,2026-02-04,01:40,Nyeri Depot,Logistics,Night,Equipment Contact,Equipment Contact event reported at Nyeri Depot during night shift.,Near Miss,False,False,True,False,0,5,True,58.6,92.3,1248,-0.4201,36.9476,0
HSE-1073,2026-02-04,18:30,Kakamega Depot,Operations,Day,Struck By,Struck By event reported at Kakamega Depot during day shift.,Restricted Work,True,True,False,False,4,4,True,96.6,97.2,1081,0.2827,34.7519,16
HSE-1074,2026-02-04,18:40,Wajir Depot,Maintenance,Day,Equipment Contact,Equipment Contact event reported at Wajir Depot during day shift. Credible worst case could be life-altering.,Medical Treatment,True,True,False,True,5,5,False,61.3,82.3,915,1.7471,40.0573,25
HSE-1075,2026-02-04,06:20,Mandera Depot,Logistics,Day,Manual Handling,Manual Handling event reported at Mandera Depot during day shift.,Restricted Work,False,False,False,False,1,2,True,62.5,90.5,1236,3.9373,41.8569,2
HSE-1076,2026-02-05,10:00,Nairobi Depot,Maintenance,Day,Equipment Contact,Equipment Contact event reported at Nairobi Depot during day shift.,First Aid,True,True,False,False,3,4,True,93.3,82.1,900,-1.2921,36.8219,12
HSE-1077,2026-02-05,00:10,Mombasa Depot,Operations,Night,Equipment Contact,Equipment Contact event reported at Mombasa Depot during night shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,5,1,True,72.0,93.4,1069,-4.0435,39.6682,5
HSE-1078,2026-02-05,15:40,Kisumu Depot,Logistics,Day,Struck By,Struck By event reported at Kisumu Depot during day shift.,Near Miss,False,False,True,False,0,4,True,93.3,93.3,854,-0.0917,34.768,0
HSE-1079,2026-02-05,01:10,Kakamega Depot,Operations,Night,Chemical Exposure,Chemical Exposure event reported at Kakamega Depot during night shift.,Medical Treatment,False,False,False,False,1,2,True,82.8,98.3,1168,0.2827,34.7519,2
HSE-1080,2026-02-05,14:00,Mandera Depot,Utilities,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Mandera Depot during day shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,3,2,True,71.4,90.1,1287,3.9373,41.8569,6
HSE-1081,2026-02-06,16:30,Nairobi Depot,Utilities,Day,Slip / Trip,Worker slipped near transfer walkway at Nairobi Depot during day shift.,First Aid,True,False,False,False,2,2,True,80.0,98.1,1305,-1.2921,36.8219,4
HSE-1082,2026-02-07,16:00,Mombasa Depot,Maintenance,Day,Slip / Trip,Worker slipped near transfer walkway at Mombasa Depot during day shift.,Medical Treatment,False,False,False,False,1,4,True,90.9,92.7,1392,-4.0435,39.6682,4
HSE-1083,2026-02-07,22:30,Kakamega Depot,Maintenance,Night,Slip / Trip,Worker slipped near transfer walkway at Kakamega Depot during night shift.,First Aid,True,False,False,False,2,5,True,77.8,94.3,1112,0.2827,34.7519,10
HSE-1084,2026-02-07,16:30,Wajir Depot,Maintenance,Day,Slip / Trip,Worker slipped near transfer walkway at Wajir Depot during day shift.,Lost Time,False,False,False,False,1,2,True,62.1,97.6,1166,1.7471,40.0573,2
HSE-1085,2026-02-08,22:40,Nairobi Depot,Operations,Night,Slip / Trip,Worker slipped near transfer walkway at Nairobi Depot during night shift.,Medical Treatment,True,False,False,False,2,2,True,100.0,82.4,1106,-1.2921,36.8219,4
HSE-1086,2026-02-08,08:20,Nyeri Depot,Operations,Day,Fall From Height,Elevated work task had incomplete edge protection at Nyeri Depot.,Restricted Work,True,False,False,False,2,3,True,87.1,89.9,887,-0.4201,36.9476,6
HSE-1087,2026-02-08,22:10,Kakamega Depot,Maintenance,Night,Slip / Trip,Worker slipped near transfer walkway at Kakamega Depot during night shift.,First Aid,True,True,False,False,5,4,False,100.0,85.1,1164,0.2827,34.7519,20
HSE-1088,2026-02-08,22:30,Mandera Depot,Operations,Night,Vehicle Interaction,Pedestrian entered forklift travel path at Mandera Depot during night shift.,Medical Treatment,True,False,False,False,3,4,True,100.0,88.1,948,3.9373,41.8569,12
HSE-1089,2026-02-09,12:30,Mombasa Depot,Logistics,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Mombasa Depot during day shift. Credible worst case could be life-altering.,First Aid,True,False,False,True,3,5,True,93.5,89.1,1262,-4.0435,39.6682,15
HSE-1090,2026-02-09,23:10,Nyeri Depot,Maintenance,Night,Struck By,Struck By event reported at Nyeri Depot during night shift.,Medical Treatment,False,False,False,False,1,5,True,78.1,85.5,1065,-0.4201,36.9476,5
HSE-1091,2026-02-09,06:10,Kakamega Depot,Operations,Day,Slip / Trip,Worker slipped near transfer walkway at Kakamega Depot during day shift.,Near Miss,False,False,True,False,0,5,True,81.5,88.9,1074,0.2827,34.7519,0
HSE-1092,2026-02-09,07:20,Wajir Depot,Logistics,Day,Equipment Contact,Equipment Contact event reported at Wajir Depot during day shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,5,1,True,78.6,96.2,1006,1.7471,40.0573,5
HSE-1093,2026-02-10,12:10,Nairobi Depot,Logistics,Day,Slip / Trip,Worker slipped near transfer walkway at Nairobi Depot during day shift.,Near Miss,False,False,True,False,0,4,True,90.0,87.0,1279,-1.2921,36.8219,0
HSE-1094,2026-02-10,06:30,Mombasa Depot,Maintenance,Day,Slip / Trip,Worker slipped near transfer walkway at Mombasa Depot during day shift.,First Aid,True,True,False,False,5,3,True,100.0,90.7,882,-4.0435,39.6682,15
HSE-1095,2026-02-10,12:40,Kakamega Depot,Utilities,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Kakamega Depot during day shift.,Restricted Work,True,False,False,False,2,3,True,79.3,98.3,1018,0.2827,34.7519,6
HSE-1096,2026-02-10,12:20,Wajir Depot,Maintenance,Day,Near Miss,Near Miss event reported at Wajir Depot during day shift.,Near Miss,False,False,True,False,0,1,True,53.1,82.1,1214,1.7471,40.0573,0
HSE-1097,2026-02-11,02:30,Nairobi Depot,Logistics,Night,Equipment Contact,Equipment Contact event reported at Nairobi Depot during night shift. Credible worst case could be life-altering.,Restricted Work,True,True,False,True,4,3,True,80.0,98.0,1088,-1.2921,36.8219,12
HSE-1098,2026-02-11,07:40,Mombasa Depot,Operations,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Mombasa Depot during day shift.,Restricted Work,False,False,False,False,1,1,True,90.3,83.5,1279,-4.0435,39.6682,1
HSE-1099,2026-02-11,08:00,Nyeri Depot,Logistics,Day,Fall From Height,Elevated work task had incomplete edge protection at Nyeri Depot. Credible worst case could be life-altering.,Near Miss,False,False,True,True,4,3,True,68.0,95.9,1116,-0.4201,36.9476,12
HSE-1100,2026-02-12,22:50,Nairobi Depot,Maintenance,Night,Near Miss,Near Miss event reported at Nairobi Depot during night shift.,Near Miss,False,False,True,False,0,2,True,85.7,85.2,888,-1.2921,36.8219,0
HSE-1101,2026-02-12,22:20,Nyeri Depot,Operations,Night,Manual Handling,Manual Handling event reported at Nyeri Depot during night shift.,Medical Treatment,True,True,False,False,5,1,True,95.0,96.2,1359,-0.4201,36.9476,5
HSE-1102,2026-02-12,14:20,Kakamega Depot,Utilities,Day,Struck By,Struck By event reported at Kakamega Depot during day shift.,Restricted Work,False,False,False,False,1,5,True,75.0,86.2,1288,0.2827,34.7519,5
HSE-1103,2026-02-12,18:30,Wajir Depot,Operations,Day,Manual Handling,Manual Handling event reported at Wajir Depot during day shift.,First Aid,False,False,False,False,1,2,True,100.0,83.8,1038,1.7471,40.0573,2
HSE-1104,2026-02-12,11:20,Mandera Depot,Utilities,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Mandera Depot during day shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,4,3,True,80.0,89.2,876,3.9373,41.8569,12
HSE-1105,2026-02-13,02:50,Mandera Depot,Operations,Night,Slip / Trip,Worker slipped near transfer walkway at Mandera Depot during night shift.,Medical Treatment,True,False,False,False,2,3,True,100.0,94.8,1135,3.9373,41.8569,6
HSE-1106,2026-02-14,00:50,Nairobi Depot,Operations,Night,Slip / Trip,Worker slipped near transfer walkway at Nairobi Depot during night shift.,First Aid,False,False,False,False,1,4,False,95.8,98.7,1060,-1.2921,36.8219,4
HSE-1107,2026-02-14,14:30,Kisumu Depot,Operations,Day,Equipment Contact,Equipment Contact event reported at Kisumu Depot during day shift. Credible worst case could be life-altering.,Restricted Work,True,False,False,True,3,2,True,72.4,96.0,972,-0.0917,34.768,6
HSE-1108,2026-02-14,14:20,Kakamega Depot,Logistics,Day,Manual Handling,Manual Handling event reported at Kakamega Depot during day shift.,Restricted Work,False,False,False,False,1,4,True,53.3,91.3,1063,0.2827,34.7519,4
HSE-1109,2026-02-15,12:20,Nairobi Depot,Logistics,Day,Equipment Contact,Equipment Contact event reported at Nairobi Depot during day shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,3,2,True,74.2,87.6,876,-1.2921,36.8219,6
HSE-1110,2026-02-15,11:40,Kisumu Depot,Logistics,Day,Manual Handling,Manual Handling event reported at Kisumu Depot during day shift.,Restricted Work,False,False,False,False,1,4,True,92.0,94.5,1017,-0.0917,34.768,4
HSE-1111,2026-02-15,14:00,Kakamega Depot,Maintenance,Day,Manual Handling,Manual Handling event reported at Kakamega Depot during day shift.,Lost Time,True,False,False,False,2,3,True,90.0,96.5,1313,0.2827,34.7519,6
HSE-1112,2026-02-15,16:00,Wajir Depot,Operations,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Wajir Depot during day shift.,Lost Time,True,False,False,False,2,5,True,53.3,87.3,1219,1.7471,40.0573,10
HSE-1113,2026-02-16,18:30,Nairobi Depot,Logistics,Day,Equipment Contact,Equipment Contact event reported at Nairobi Depot during day shift. Credible worst case could be life-altering.,Medical Treatment,True,True,False,True,5,4,True,100.0,88.2,952,-1.2921,36.8219,20
HSE-1114,2026-02-16,01:30,Mombasa Depot,Logistics,Night,Near Miss,Near Miss event reported at Mombasa Depot during night shift.,Near Miss,False,False,True,False,0,5,True,100.0,90.4,1309,-4.0435,39.6682,0
HSE-1115,2026-02-17,11:50,Nairobi Depot,Logistics,Day,Manual Handling,Manual Handling event reported at Nairobi Depot during day shift.,First Aid,False,False,False,False,1,5,True,66.7,92.4,1163,-1.2921,36.8219,5
HSE-1116,2026-02-17,00:20,Nyeri Depot,Maintenance,Night,Near Miss,Near Miss event reported at Nyeri Depot during night shift.,Near Miss,False,False,True,False,0,4,True,93.8,89.1,1017,-0.4201,36.9476,0
HSE-1117,2026-02-17,02:50,Kisumu Depot,Logistics,Night,Manual Handling,Manual Handling event reported at Kisumu Depot during night shift.,Restricted Work,True,False,False,False,3,5,True,76.7,89.3,1319,-0.0917,34.768,15
HSE-1118,2026-02-17,16:10,Kakamega Depot,Logistics,Day,Struck By,Struck By event reported at Kakamega Depot during day shift.,Medical Treatment,False,False,False,False,1,4,True,82.8,86.6,873,0.2827,34.7519,4
HSE-1119,2026-02-17,18:00,Wajir Depot,Operations,Day,Manual Handling,Manual Handling event reported at Wajir Depot during day shift.,Medical Treatment,True,False,False,False,3,1,True,80.0,84.0,1293,1.7471,40.0573,3
HSE-1120,2026-02-18,00:00,Kakamega Depot,Maintenance,Night,Fall From Height,Elevated work task had incomplete edge protection at Kakamega Depot.,Restricted Work,True,False,False,False,3,1,True,96.8,84.3,863,0.2827,34.7519,3
HSE-1121,2026-02-19,14:30,Kisumu Depot,Operations,Day,Slip / Trip,Worker slipped near transfer walkway at Kisumu Depot during day shift.,Medical Treatment,True,False,False,False,2,4,True,96.8,98.2,1132,-0.0917,34.768,8
HSE-1122,2026-02-20,10:10,Nairobi Depot,Logistics,Day,Manual Handling,Manual Handling event reported at Nairobi Depot during day shift.,Medical Treatment,True,True,False,False,3,4,True,84.4,87.4,1360,-1.2921,36.8219,12
